Site;lat;lng
Backa;60.171944445464646;17.110277774057867
Backa;60.171944445464646;17.110277774057867
Bergsviken/Älvsbacka;59.724079999546426;13.66005999897841
Bergsviken/Älvsbacka;59.724460003631;13.65871000256934
Brobacke;60.02222222646699;16.322222222879493
Brobacke;60.02222222646699;16.322222222879493
Brunkullsvägen;59.91861110789624;17.015833331603417
Brunkullsvägen;59.91861110789624;17.015833331603417
Bänntorpet;59.91222222478697;16.82805555033047
Bänntorpet;59.91222222478697;16.82805555033047
Dragkärret;59.866388887568505;16.774722214666944
Dragkärret;59.866388887568505;16.774722214666944
Enköping;59.66777777549593;17.09416667354483
Enköping;59.66777777783043;17.094444437988553
Flugbohöjden/Ettala;59.44663000287134;14.43837999459038
Flugbohöjden/Ettala;59.44664000177134;14.438499994186673
Gamsebo Hagaberg;59.87472221981939;16.694166661996537
Gamsebo Hagaberg;59.87472221981939;16.694166661996537
Gersbysäter/Gersby;59.81977999749305;13.456699998089872
Gersbysäter/Gersby;59.819940004317374;13.457399993625177
Gullvalla;59.91666666864983;16.45194443931586
Gullvalla;59.91666666864983;16.45194443931586
Häggstöd/Nyeds-Backa;59.561800001423066;13.660900005850392
Häggstöd/Nyeds-Backa;59.56613000318224;13.660930004982053
Jonsbol;59.191120000709425;14.207369995331367
Jonsbol;59.19124999572207;14.208490004215768
Kårbo;59.96194444509916;16.289722225669678
Kårbo;59.96194444509916;16.289722225669678
Kölnbacken;59.95833332958457;16.285277786531346
Kölnbacken;59.95833332958457;16.285277786531346
Larsbo;59.842222225474615;17.096944441187645
Larsbo;59.842222225474615;17.096944441187645
Lilla harnevi;59.7211111133302;17.096666661638665
Lilla harnevi;59.7211111133302;17.096666661638665
Littersbo 1;59.88638888526793;16.807499999189837
Littersbo 1;59.88638888526793;16.807499999189837
Littersbo 2;59.903055553161025;16.811666663130797
Littersbo 2;59.903055553161025;16.811666663130797
Lydinge;59.83416666414786;17.09972223694556
Lydinge;59.834722221337245;17.099722228312213
Manhem/Asphyttan;59.629860002557955;14.178350993503111
Manhem/Asphyttan;59.63001999903425;14.178679995464607
Missionskyrkan;59.8769444472806;16.696111112337015
Missionskyrkan;59.8769444472806;16.696111112337015
Motocrossbanan ;59.91333333461551;16.830833339864693
Motocrossbanan ;59.91333333461551;16.830833339864693
Nordsjö;59.720220001551134;13.464840007888387
Nordsjö;59.72022999739539;13.464270006415045
Nykroppa Herrhult;59.69329000407776;14.298240007949122
Nykroppa Herrhult;59.703219998533015;14.290479997260269
Odensfors;60.24361111114179;17.351111111633518
Odensfors;60.24361111114179;17.351111111633518
Ransta;59.97277777732004;16.622777782686956
Ransta;59.97277777732004;16.622777782686956
Runhällen;60.01944444478391;16.83305555659662
Runhällen;60.01944444478391;16.83305555659662
Rämmen-Haget;59.89984000113091;14.117800005727807
Rämmen-Haget;59.89991999973843;14.117220007944983
Röcklingeås;59.91666667018526;16.83722222288488
Röcklingeås;59.91666667018526;16.83722222288488
Rödmossa;60.078055555433224;16.834166669450713
Rödmossa;60.078055555433224;16.834166669450713
Slutbo;59.84749999927501;17.092500007274147
Slutbo;59.84749999927501;17.092500007274147
Snavlunda äng;59.972280004348434;14.894459996922206
Snavlunda äng;59.99544999829716;14.896799992586018
Solbo;59.86638888839007;16.778055560232772
Solbo;59.86638888839007;16.778055560232772
Stavkärr/Svinnersta;58.97562000014922;14.787349995825071
Stavkärr/Svinnersta;58.97593000036923;14.786909992131724
Söderfors;60.36138888753371;17.23416665879959
Söderfors;60.36138888753371;17.23416665879959
Sörbäck;59.87861110881061;16.689722214842448
Sörbäck;59.87861110881061;16.689722214842448
Torsked;59.68369000084977;13.624200006151382
Torsked;59.68405000154655;13.624719998422613
Västerby;59.924444448468925;16.48694445175844
Västerby;59.924444448468925;16.48694445175844
Östanbäck;59.92611111449075;16.476666666902425
Östanbäck;59.92611111449075;16.476666666902425
Östanbäcks kloster;59.92722222086616;16.468611105710703
Östanbäcks kloster;59.92722222086616;16.468611105710703
Österunda1;59.8250000042415;17.101111113726947
Österunda1;59.8250000042415;17.101111113726947
Österunda2;59.82111110719141;17.10138888677811
Österunda2;59.82111110719141;17.10138888677811
