Region;Site;parnr;Lupin;shannon;N;E;lat;lng
East region;Brobacke;1;Yes;10,78234052;6654622,686;573697,751;60,02222223;16,32222222
East region;Brobacke;1;No;17,93729299;6654622,686;573697,751;60,02222223;16,32222222
East region;Brunkullsvägen;1;Yes;10,20165827;6644062,999;612703,008;59,91861111;17,01583333
East region;Brunkullsvägen;1;No;10,11124966;6644062,999;612703,008;59,91861111;17,01583333
East region;Bänntorpet;1;Yes;12,68915774;6643046,881;602226,068;59,91222222;16,82805555
East region;Bänntorpet;1;No;14,79689542;6643046,881;602226,068;59,91222222;16,82805555
East region;Enköping;1;Yes;5,700005687;6616274,8;617979,682;59,66777778;17,09444444
East region;Enköping;1;No;2,948334068;6616274,8;617979,682;59,66777778;17,09444444
East region;Gullvalla;2;Yes;7,644981855;6643020,781;581185,362;59,91666667;16,45194444
East region;Gullvalla;2;No;7,937081604;6643020,781;581185,362;59,91666667;16,45194444
East region;Kölnbacken;2;Yes;6,251987847;6647467,838;571776,943;59,95833333;16,28527779
East region;Kölnbacken;2;No;10,15233557;6647467,838;571776,943;59,95833333;16,28527779
East region;Lilla harnevi;2;Yes;5,734712146;6622216,136;617917,168;59,72111111;17,09666666
East region;Lilla harnevi;2;No;4,8572464;6622216,136;617917,168;59,72111111;17,09666666
East region;Odensfors;2;Yes;13,70840638;6680860,924;630155,667;60,24361111;17,35111111
East region;Odensfors;2;No;14,95616268;6680860,924;630155,667;60,24361111;17,35111111
East region;Ransta;1;Yes;7,666638493;6649490,25;590583,092;59,97277778;16,62277778
East region;Ransta;1;No;11,58998029;6649490,25;590583,092;59,97277778;16,62277778
East region;Rödmossa;1;Yes;10,78361007;6661520,071;602055,72;60,07805556;16,83416667
East region;Rödmossa;1;No;13,06309792;6661520,071;602055,72;60,07805556;16,83416667
East region;Solbo;2;Yes;8,410395079;6637867,687;599567,525;59,86638889;16,77805556
East region;Solbo;2;No;15,65825308;6637867,687;599567,525;59,86638889;16,77805556
East region;Österunda2;1;Yes;18,96870625;6633357,23;617829,747;59,82111111;17,10138889
East region;Österunda2;1;No;17,18342117;6633357,23;617829,747;59,82111111;17,10138889
West region;Bergsviken/Älvsbacka;1;Yes;2,522193813;6621444,286;424643,157;59,72408;13,66006
West region;Bergsviken/Älvsbacka;1;No;8,817448007;6621444,286;424643,157;59,72408;13,66006
West region;Flugbohöjden/Ettala;1;Yes;3,72041058;6589893,959;468414,497;59,44641;14,44299999
West region;Flugbohöjden/Ettala;1;No;19,19399742;6589893,959;468414,497;59,44641;14,44299999
West region;Gersbysäter/Gersby;1;Yes;4,183348153;6632365,339;413495,384;59,81994;13,45739999
West region;Gersbysäter/Gersby;1;No;12,79851848;6632365,339;413495,384;59,81994;13,45739999
West region;Häggstöd/Nyeds-Backa;2;Yes;6,068677528;6603856,071;424337,33;59,56613;13,66093
West region;Häggstöd/Nyeds-Backa;2;No;10,82819974;6603856,071;424337,33;59,56613;13,66093
West region;Jonsbol;1;Yes;11,47318341;6561616,409;454779,032;59,19125;14,20849
West region;Jonsbol;1;No;11,11092956;6561616,409;454779,032;59,19125;14,20849
West region;Manhem/Asphyttan;2;Yes;6,873986512;6610680,146;453745,495;59,63169;14,17982
West region;Manhem/Asphyttan;2;No;9,09686706;6610680,146;453745,495;59,63169;14,17982
West region;Nordsjö;1;Yes;3,225206974;6621254,271;413623,418;59,72023;13,46427001
West region;Nordsjö;1;No;11,66210806;6621254,271;413623,418;59,72023;13,46427001
West region;Nykroppa Herrhult;1;Yes;3,399320824;6621374,552;456402,293;59,728;14,22471
West region;Nykroppa Herrhult;1;No;11,82047162;6621374,552;456402,293;59,728;14,22471
West region;Rämmen-Haget;1;Yes;6,736527949;6641003,163;450058,324;59,90352;14,10721
West region;Rämmen-Haget;1;No;12,14740072;6641003,163;450058,324;59,90352;14,10721
West region;Snavlunda äng;1;Yes;2,889097706;6650908,957;494242,954;59,99545;14,89679999
West region;Snavlunda äng;1;No;14,77264434;6650908,957;494242,954;59,99545;14,89679999
West region;Stavkärr/Svinnersta;3;Yes;7,315470191;6537580,041;487246,521;58,97761;14,77815999
West region;Stavkärr/Svinnersta;3;No;10,00269857;6537580,041;487246,521;58,97761;14,77815999
West region;Torsked;1;Yes;4,154241736;6616988,264;422533,356;59,68369;13,62420001
West region;Torsked;1;No;5,690274218;6616988,264;422533,356;59,68369;13,62420001
