County;Site;parnr;Lupin;shannon
East region;Backa;1;Yes;11,49723864
East region;Brobacke;1;Yes;10,93479891
East region;Brunkullsvägen;1;Yes;11,27383361
East region;Bänntorpet;1;Yes;14,31250719
East region;Dragkärret;1;Yes;8,901471029
East region;Enköping;1;Yes;6,331453689
East region;Gamsebo Hagaberg;2;Yes;5,654126181
East region;Gullvalla;2;Yes;8,174701199
East region;Kårbo;1;Yes;5,242734659
East region;Kölnbacken;2;Yes;6,795595176
East region;Larsbo;1;Yes;12,0630978
East region;Lilla harnevi;2;Yes;5,852768309
East region;Littersbo 1;2;Yes;15,30975024
East region;Littersbo 2;1;Yes;7,897893316
East region;Lydinge;2;Yes;8,803065309
East region;Missionskyrkan;2;Yes;11,08514132
East region;Motocrossbanan ;1;Yes;14,78512254
East region;Odensfors;2;Yes;13,93806343
East region;Ransta;1;Yes;7,836073112
East region;Runhällen;2;Yes;10,22967088
East region;Röcklingeås;1;Yes;8,68722736
East region;Rödmossa;1;Yes;11,94586555
East region;Slutbo;2;Yes;10,81542758
East region;Solbo;2;Yes;8,762289575
East region;Söderfors;1;Yes;12,9742984
East region;Sörbäck;2;Yes;5,971725152
East region;Västerby;1;Yes;12,39162555
East region;Östanbäck;2;Yes;13,31448929
East region;Östanbäcks kloster;1;Yes;14,68883355
East region;Österunda1;1;Yes;14,5796142
East region;Österunda2;1;Yes;18,62760835
West region;Bergsviken/Älvsbacka;1;Yes;3,011685415
West region;Flugbohöjden/Ettala;1;Yes;3,22714945
West region;Gersbysäter/Gersby;1;Yes;6,263810922
West region;Häggstöd/Nyeds-Backa;2;Yes;5,514564154
West region;Jonsbol;1;Yes;10,74282433
West region;Manhem/Asphyttan;2;Yes;8,352861137
West region;Nordsjö;1;Yes;3,446601368
West region;Nykroppa Herrhult;1;Yes;4,181497795
West region;Rämmen-Haget;1;Yes;9,116731899
West region;Snavlunda äng;1;Yes;3,399469197
West region;Stavkärr/Svinnersta;3;Yes;6,347604693
West region;Torsked;1;Yes;3,644610488
East region;Backa;1;No;15,45597494
East region;Brobacke;1;No;19,11191647
East region;Brunkullsvägen;1;No;10,43760999
East region;Bänntorpet;1;No;17,90606249
East region;Dragkärret;1;No;13,72196479
East region;Enköping;1;No;3,309180804
East region;Gamsebo Hagaberg;2;No;8,579607869
East region;Gullvalla;2;No;8,702853232
East region;Kårbo;1;No;12,02693383
East region;Kölnbacken;2;No;11,3264562
East region;Larsbo;1;No;11,12002834
East region;Lilla harnevi;2;No;5,303529648
East region;Littersbo 1;2;No;17,72506349
East region;Littersbo 2;1;No;10,57113729
East region;Lydinge;2;No;8,493305976
East region;Missionskyrkan;2;No;14,99789562
East region;Motocrossbanan ;1;No;15,11375768
East region;Odensfors;2;No;16,05083715
East region;Ransta;1;No;12,28586108
East region;Runhällen;2;No;16,63624175
East region;Röcklingeås;1;No;13,67180219
East region;Rödmossa;1;No;13,06309792
East region;Slutbo;2;No;15,47110936
East region;Solbo;2;No;16,06825008
East region;Söderfors;1;No;12,89586518
East region;Sörbäck;2;No;13,53980632
East region;Västerby;1;No;12,05403177
East region;Östanbäck;2;No;17,7075012
East region;Östanbäcks kloster;1;No;11,37260272
East region;Österunda1;1;No;18,75848917
East region;Österunda2;1;No;17,6636193
West region;Bergsviken/Älvsbacka;1;No;8,817448007
West region;Flugbohöjden/Ettala;1;No;19,19399742
West region;Gersbysäter/Gersby;1;No;12,79851848
West region;Häggstöd/Nyeds-Backa;2;No;10,82819974
West region;Jonsbol;1;No;12,04450811
West region;Manhem/Asphyttan;2;No;9,09686706
West region;Nordsjö;1;No;12,16361849
West region;Nykroppa Herrhult;1;No;11,82047162
West region;Rämmen-Haget;1;No;12,14740072
West region;Snavlunda äng;1;No;14,77264434
West region;Stavkärr/Svinnersta;3;No;10,00269857
West region;Torsked;1;No;5,690274218
