Site;Region;Replaced with
Bergsviken/Älvsbacka;Värmland;
Brobacke;Uppland;
Flugbohöjden/Ettala;Värmland;
Gersbysäter/Gersby;Värmland;
Gullvalla;Uppland;
Häggstöd/Nyeds-Backa;Värmland;
Jonsbol;Värmland;
Kölnbacken;Uppland;
Lilla harnevi;Uppland;
Manhem/Asphyttan;Värmland;
Missionskyrkan;Uppland;
Motocrossbanan ;Uppland;
Nordsjö;Värmland;
Nykroppa Herrhult;Värmland;
Ransta;Uppland;
Rämmen-Haget;Värmland;
Rödmossa;Uppland;
Snavlunda äng;Värmland;
Backa;Uppland;
Stavkärr/Svinnersta;Värmland;
Torsked;Värmland;
Söderfors;Uppland;
Runhällen;Uppland;
Österunda1;Uppland;
