"";"County";"Site";"Lupin";"rich"
"1";"Uppsala";"Brobacke";"No";25
"2";"Uppsala";"Brobacke";"Yes";16
"3";"Uppsala";"Brunkullsvägen";"No";15
"4";"Uppsala";"Brunkullsvägen";"Yes";16
"5";"Uppsala";"Bänntorpet";"No";21
"6";"Uppsala";"Bänntorpet";"Yes";17
"7";"Uppsala";"Enköping";"No";4
"8";"Uppsala";"Enköping";"Yes";7
"9";"Uppsala";"Gullvalla";"No";12
"10";"Uppsala";"Gullvalla";"Yes";12
"11";"Uppsala";"Kölnbacken";"No";15
"12";"Uppsala";"Kölnbacken";"Yes";10
"13";"Uppsala";"Lilla harnevi";"No";6
"14";"Uppsala";"Lilla harnevi";"Yes";8
"15";"Uppsala";"Odensfors";"No";21
"16";"Uppsala";"Odensfors";"Yes";18
"17";"Uppsala";"Ransta";"No";15
"18";"Uppsala";"Ransta";"Yes";11
"19";"Uppsala";"Rödmossa";"No";19
"20";"Uppsala";"Rödmossa";"Yes";14
"21";"Uppsala";"Solbo";"No";20
"22";"Uppsala";"Solbo";"Yes";12
"23";"Uppsala";"Österunda2";"No";24
"24";"Uppsala";"Österunda2";"Yes";24
"25";"Värmland";"Bergsviken/Älvsbacka";"No";11
"26";"Värmland";"Bergsviken/Älvsbacka";"Yes";3
"27";"Värmland";"Flugbohöjden/Ettala";"No";23
"28";"Värmland";"Flugbohöjden/Ettala";"Yes";4
"29";"Värmland";"Gersbysäter/Gersby";"No";16
"30";"Värmland";"Gersbysäter/Gersby";"Yes";5
"31";"Värmland";"Häggstöd/Nyeds-Backa";"No";14
"32";"Värmland";"Häggstöd/Nyeds-Backa";"Yes";7
"33";"Värmland";"Jonsbol";"No";16
"34";"Värmland";"Jonsbol";"Yes";13
"35";"Värmland";"Manhem/Asphyttan";"No";15
"36";"Värmland";"Manhem/Asphyttan";"Yes";11
"37";"Värmland";"Nordsjö";"No";15
"38";"Värmland";"Nordsjö";"Yes";4
"39";"Värmland";"Nykroppa Herrhult";"No";15
"40";"Värmland";"Nykroppa Herrhult";"Yes";4
"41";"Värmland";"Rämmen-Haget";"No";17
"42";"Värmland";"Rämmen-Haget";"Yes";9
"43";"Värmland";"Snavlunda äng";"No";19
"44";"Värmland";"Snavlunda äng";"Yes";3
"45";"Värmland";"Stavkärr/Svinnersta";"No";14
"46";"Värmland";"Stavkärr/Svinnersta";"Yes";8
"47";"Värmland";"Torsked";"No";9
"48";"Värmland";"Torsked";"Yes";5
